Words,Labels
"['No', 'Dodge', 'Demon', '?']","['O', 'B-product', 'I-product', 'O']"
"['It', 'was', 'teased', 'a', 'little', 'bit', 'in', 'Fate', 'of', 'the', 'Furious', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'I-creative-work', 'O']"
['.'],['O']
['.'],['O']
"['Feel', 'good', 'ink', 'part', '2', 'please', 'and', 'a', 'remake', 'of', 'Clint', 'Eastwood', 'put', 'Dozer', ""'"", 's', 'spit', 'Damn', 'so', 'you', 'we', ""'"", 're', 'in', 'WI', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-location', 'O']"
"['Thats', ""'"", 's', 'where', 'we', ""'"", 're', 'from', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hahahahhahahaha', 'lol', 'my', 'sister', 'and', 'i', 'watch', 'ur', 'older', 'video', '=', 'o', 'uija', 'board', 'in', 'an', 'asylum', '=', 'the', 'alien', 'thingy', 'and', 'know', 'shes', 'scared', 'of', 'you', 'and', 'she', 'is', 'know', 'a', 'logang', 'Play', 'Monopoly', 'Can', 'guess', 'how', 'many', 'times', 'they', 'said', '""', 'Fire', '""', 'in', 'this', 'episode', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['hey', 'GT', 'will', 'you', 'do', '1', 'on', 'sup', '?']","['O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hope', 'youre', 'gaining', 'money', 'again', 'cause', 'im', 'seeing', 'ads', 'again', 'La', 'la', 'land', 'is', 'my', 'favorite', 'movie', 'guys', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['wait', 'there', 'has', 'been', 'a', 'mistake', 'moonlight', 'is', 'actually', 'my', 'favorite', 'movie', 'Why', 'are', 'u', 'giving', '1', ""'"", '000', ""'"", '000', 'Supercell', 'OMFG', 'LMAO', '""', 'concentration', 'clubs', '""', 'I', 'just', 'did', 'the', 'research', 'and', 'found', 'out', 'the', 'reason', 'lebron', 'started', 'laughing', 'at', '7', ':', '41', 'is', 'because', 'he', 'finally', 'seen', 'Oprah', 'side', 'nappy', 'ass', 'un', 'picked', 'ass', 'need', 'a', 'weed', 'sacker', 'for', 'my', 'lineup', 'ugly', 'ass', 'haircut', 'my', 'nigga', 'Represents', 'my', 'time', 'at', 'school', 'right', 'now', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Stupid', 'exams', '.']","['O', 'O', 'O']"
"['When', 'I', 'come', 'home', 'I', 'listen', 'to', 'this', 'song', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['THANK', 'YOU', 'PARAMORE', '!']","['O', 'O', 'O', 'O']"
"['please', 'upload', '*', 'desi', 'boys', '*', 'Dude', 'should', 'join', 'TYT', '.']","['O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'O', 'B-group', 'O']"
"['Those', 'guys', 'are', 'doing', 'really', 'good', 'reporting', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Is', 'it', 'me', '?']","['O', 'O', 'O', 'O']"
"['Or', 'does', 'Trumpty', 'Dumpty', 'seem', 'even', 'more', 'clueless', 'than', 'ever', '?']","['O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Jesus', ',', 'Joseph', 'and', 'Mary', ',', 'we', 'are', 'doomed', '.']","['B-person', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']"
"['A', 'modern', 'Boy', 'in', 'the', 'Bubble', '.']","['O', 'O', 'B-creative-work', 'I-creative-work', 'I-creative-work', 'I-creative-work', 'O']"
"['Can', 'it', 'deliver', '?']","['O', 'O', 'O', 'O']"
"['Norman', 'is', 'busy', 'watching', 'everything', 'you', 'do', 'n', ""'"", 't', 'Wendy', 'That', 'old', 'map', 'does', 'say', 'New', 'Orleans', 'Square', 'just', 'above', 'Haunted', 'House', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-location', 'I-location', 'I-location', 'O', 'O', 'B-location', 'I-location', 'O']"
"['the', 'real', 'question', 'is', 'why', 'did', 'Rose', 'have', 'her', 'kids', 'this', 'whole', 'time', 'is', 'pretty', 'hard', 'for', 'a', 'MAN', 'to', 'get', 'custody', 'over', 'a', 'woman', 'so', 'whats', 'the', 'real', 'story', 'with', 'this', 'lady', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['?'],['O']
['?'],['O']
['?'],['O']
['?'],['O']
"['did', 'you', 'call', 'him', 'hubert', '?']","['O', 'O', 'O', 'O', 'B-person', 'O']"
"['my', 'name', 'is', 'hubert', 'That', 'Mrs', '.']","['O', 'O', 'O', 'B-person', 'O', 'B-creative-work', 'I-creative-work']"
"['Doubtfire', 'cutaway', 'about', 'Joan', 'Collins', 'made', 'me', 'laugh', 'more', 'than', 'it', 'should', 'have', 'All', 'I', 'hear', 'is', 'Marty', 'from', 'Madagascar', 'when', 'he', 'speaks', '😂', '😂', '😂', 'Coyote', 'I', 'want', 'whatever', 'your', 'having', 'Thanks', 'for', 'sharing', 'for', 'those', 'which', 'could', 'not', 'access', 'the', 'Amazon', 'Prime', 'video', '-', 'the', 'only', 'way', 'to', 'free', 'humanity', 'is', 'to', 'free', 'information', '.']","['I-creative-work', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['You', 'rock', 'as', 'always', '.']","['O', 'O', 'O', 'O', 'O']"
"['Audi', 'R', '8', 'is', 'my', 'favorite', 'car', 'He', 'said', 'mchoke', 'but', 'the', 'team', 'he', 'says', 'he', '""', 'goes', '""', 'for', 'blew', 'a', '3', '-', '1', 'lead', '?']","['B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['?'],['O']
['?'],['O']
['?'],['O']
['?'],['O']
['?'],['O']
['?'],['O']
"['Fuck', 'off', 'wi', ""'"", 'ye', 'map', 'Double', 'Vehicular', 'Manslaughter', 'and', 'only', '5', 'years', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Becaise', 'shes', 'a', 'degenerate', 'AkA', 'A', 'WOMAN', 'Stay', 'Strong', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
"['Gal', 'tun', 'off', 'you', 'dilldo', 'Goes', 'along', 'perfectly', 'with', 'my', 'Galaxy', 's', '8', 'Lom', 'zem', 'thiab', 'muaj', 'ntau', 'yam', 'kawm', 'kawg', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Keep', 'up', 'the', 'good', 'work', 'brother', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['ishawna', 'song', 'wake', 'up', 'the', 'pussy', 'sucker', 'dem', '&', 'this', 'one', 'here', 'mek', 'fi', 'kill', 'the', 'pussy', 'sucker', 'dem', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['lol', 'Wow', 'edubes', ',', 'your', 'vedo', 'is', 'on', 'trenning', 'an', 'monotize', 'tu', '!']","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['kapil', ""'"", 's', 'expression', 'at', '10', ':', '17', '😂', '😂', 'Great', 'song', 'for', 'her', 'vocal', 'range', '.']","['B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['love', 'it', 'Rudy', 'pretty', 'much', 'just', 'described', 'the', 'way', 'I', 'make', 'friends', ',', 'and', 'enemies', ',', 'in', 'one', 'simple', 'video', '!']","['O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['😅', '❤', '❤', '😅', 'thank', 'you', 'fake', 'kevin', 'smith', 'Disloike', 'cause', 'I', 'Haite', 'it', ';', '-', ';', 'Great', 'vidio', 'Do', 'Vanessa', ""'"", 's', 'family', 'vlog', '/', 'film', 'Unfunny', 'libtard', 'curry', 'eater', 'Nep', 'sounds', 'hot', 'as', 'fuck', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'really', 'want', 'to', 'fuck', 'her', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['You', 'sound', 'like', 'James', 'lol', 'Having', 'another', 'tantrum', 'in', 'public', '.']","['O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['The', 'force', 'of', 'habit', 'is', 'hard', 'to', 'break', ',', 'harder', 'still', 'when', 'you', ""'"", 're', 'Dump', 'Trump', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
"['Anime', 'logic', 'is', 'so', 'real', 'The', 'scariest', 'place', 'i', ""'"", 've', 'ever', 'been', 'was', ',', 'in', 'the', 'middle', 'of', 'the', 'woods', 'on', 'a', 'trail', 'with', 'my', 'friend', 's', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'was', 'getting', 'SUPER', 'scared', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['This', 'show', 'would', 'be', 'dead', 'if', 'Hilary', 'won', 'I', ""'"", 'm', 'a', 'jazz', 'fan', ',', 'but', 'I', 'hate', 'the', 'Warriors', 'team', 'so', 'much', 'I', 'ca', 'n', ""'"", 't', 'even', 'watch', 'the', 'series', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'switched', 'the', 'channel', 'last', 'night', 'to', 'Independence', 'Day', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['shiiiiit', 'The', 'convo', 'aver', 'BSB', 'and', 'N', ""'"", 'Sync', '.']","['O', 'O', 'B-corporation', 'O', 'B-group', 'O', 'B-group', 'I-group', 'I-group', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['priceless', '!']","['O', 'O']"
"['Lmao', 'the', 'first', 'one', 'reminds', 'me', 'of', 'BF', '4', 'trying', 'to', 'dive', 'bomb', 'and', 'hitting', 'the', 'ground', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['😂', 'Why', 'is', 'this', 'Tendring', 'man', 'Looks', 'Like', 'Demar', 'de', 'FROZEN', 'is', 'in', 'playoff', 'form', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'I-person', 'O', 'O', 'O', 'O', 'O']"
"['And', 'yall', 'said', 'this', 'guy', 'is', 'better', 'than', 'butler', 'and', 'klay', 'LOL', 'Did', 'anybody', 'else', 'hear', 'Hamilton', 'playing', 'in', 'the', 'car', 'at', 'the', 'beginning', 'lol', 'Marcelo', 'is', 'the', 'star', 'of', 'real', 'madrid', 'not', 'ronaldo', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-group', 'I-group', 'O', 'B-person', 'O']"
"['Marcelo', 'defend', 'attack', 'create', 'beautiful', 'chances', 'Tiny', 'desk', 'NEEDS', 'to', 'have', 'Birdtalker', 'on', '!']","['B-person', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O', 'O', 'B-group', 'O', 'O']"
['!'],['O']
['!'],['O']
"['Good', 'job', 'TTG', '.']","['O', 'O', 'B-corporation', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
"['turning', 'a', 'good', 'Teen', 'Titans', 'episode', '.']","['O', 'O', 'O', 'B-creative-work', 'I-creative-work', 'O', 'O']"
"['And', 'making', 'it', 'total', 'crap', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
"['I', 'would', 'totally', 'ride', 'every', 'one', 'of', 'them', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"[':', '-', 'D', 'Awesome', 'list', ',', 'List', '25', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['*', '*', 'That', 'moment', 'when', 'casey', 'has', 'a', 'better', 'looking', 'stock', 'phone', 'then', 'the', '30', 'dollar', 'skin', 'on', 'yours', '*', '*', 'I', 'like', 'your', 'videos', 'a', 'lot', 'Tanner', 'and', 'I', 'like', 'your', 'car', 'Marv', 'Albert', 'voice', ',', '""', 'And', 'here', 'comes', 'DeFrozen', '!']","['O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
"['""', 'That', ""'"", 's', 'a', 'lot', 'food', ',', 'no', 'over', 'weight', 'people', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Cuz', 'no', 'sweets', '.']","['O', 'O', 'O', 'O']"
"['Just', 'Let', 'The', 'Jew', ""'"", 's', 'Die', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Better', 'title', 'in', 'my', 'opinion', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['Yoh', 'man', 'you', 'fellas', 'have', 'got', 'to', 'review', 'probably', 'thee', 'most', 'viby', '(', 'If', 'that', ""'"", 's', 'even', 'a', 'word', ')', 'track', 'to', 'have', 'come', 'this', 'year', 'by', 'Da', 'L', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-group', 'I-group', 'I-group']"
"['E', '.']","['I-group', 'I-group']"
"['S', '-', 'Lifestyle', 'ft', 'Germini', 'Major', 'i', 'just', 'noticed', 'that', 'fouseytube', 'bases', 'himself', 'off', 'of', 'DJ', 'Khaled', 'hmm', '44', 'minutes', 'of', 'Jaclyn', ',', 'yes', 'then', '!']","['I-group', 'O', 'B-creative-work', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O']"
['!'],['O']
"['True', 'stor', 'y', '.']","['O', 'O', 'O', 'O']"
"['I', 'love', 'dis', '.']","['O', 'O', 'O', 'O']"
"['kudos', 'to', 'd', 'producer', 'nd', 'all', 'd', 'cast', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Thanks', 'LibraTv', 'for', 'sharing', '.']","['O', 'B-corporation', 'O', 'O', 'O']"
"['GP', '2', 'engine', ',', 'GP', '2', 'Thank', 'you', 'Hendo', 'for', 'what', 'you', 'did', ':', ')', 'You', 'are', 'just', 'as', 'humble', 'as', 'stevie', ',', 'good', 'luck', 'mate', ':', ')', 'Range', 'Rover', 'Evoque', 'in', 'white', 'or', 'black', '❤', 'Super', 'aleena', 'Padikall', 'natural', 'performance', 'Wtf', 'is', 'spiner', 'I', 'just', 'learned', 'he', 'does', 'n', ""'"", 't', 'DRINK', '.']","['B-product', 'I-product', 'O', 'O', 'B-product', 'I-product', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'B-product', 'I-product', 'I-product', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['I', 'just', 'asked', 'myself', '""', 'How', 'the', 'F', '*', '*', '*', 'K', 'does', 'he', 'say', 'what', 'he', 'says', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['?'],['O']
['?'],['O']
"['""', '.']","['O', 'O']"
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
['.'],['O']
"['anyone', 'knows', 'the', 'answer', '.']","['O', 'O', 'O', 'O', 'O']"
"['Please', 'guide', 'me', '!']","['O', 'O', 'O', 'O']"
['!'],['O']
"['Is', 'this', 'the', 'one', 'in', 'DECKS', 'where', 'there', ""'"", 's', 'also', 'a', 'retro', 'mall', 'area', '?']","['O', 'O', 'O', 'O', 'O', 'B-location', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['It', ""'"", 's', 'crazy', 'how', 'many', 'views', 'this', 'has', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['IndyCar', 'has', 'always', 'been', 'my', 'favorite', 'series', 'lol', 'WTH', 'did', 'n', ""'"", 't', 'he', 'just', 'said', '00', ':', '17', 'sry', 'I', 'meant', 'to', 'say', 'that', ""'"", 's', 'NOT', 'OFTEN', 'Pj', 'Tucker', 'wants', 'to', 'shoot', '3', 's', 'but', 'with', 'his', 'ugly', 'ass', 'release', 'he', 'only', 'shoots', '2', 's', 'Boxers', 'make', 'millions', '.']","['B-creative-work', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['MMA', 'fighters', 'make', 'peanuts', ',', 'attribute', 'that', 'directly', 'to', 'dana', '!']","['B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O']"
"['He', 'wants', 'someone', 'else', 'to', 'pay', 'conor', 'the', 'big', 'money', 'and', 'they', '""', 'Need', '""', 'Floyd', 'to', 'help', 'them', 'do', 'that', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O']"
"['dana', 'should', 'go', 'back', 'to', 'carrying', 'Floyds', 'bags', '!']","['B-person', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O']"
"['joke', ""'"", 's', 'on', 'you', ',', 'i', 'love', 'rick', 'astley', 'it', 'was', 'raining', 'today', 'at', 'my', 'house', 'and', 'i', 'did', 'n', ""'"", 't', 'have', 'to', 'Go', 'to', 'school', ',', 'so', 'i', 'watched', 'SML', 'all', 'Day', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-creative-work', 'O', 'O', 'O']"
"['Hurray', ':', ')', 'I', 'remember', 'it', 'being', 'on', 'Nickelodeon', 'or', 'some', 'other', 'kids', ""'"", 'channel', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Hope', 'you', 'got', 'the', 'house', '!']","['O', 'O', 'O', 'O', 'O', 'O']"
"['If', 'you', 'did', 'good', 'luck', 'with', 'the', 'move', '!']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['!'],['O']
"['Lmao', 'mine', 'spin', 'for', '5', 'mins', 'or', 'more', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'have', '21', 'spinners', 'i', 'love', 'you', 'so', 'much', 'x', 'Dog', ""'"", 's', 'like', '""', 'fuck', 'this', 'thing', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['""', 'THE', 'NEW', 'NWA', '!']","['O', 'O', 'O', 'B-group', 'O']"
['!'],['O']
['!'],['O']
['!'],['O']
"['kendrick', 'and', 'schoolboy', 'When', 'do', 'you', 'get', 'out', 'of', 'school', '.']","['B-person', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['I', 'get', 'out', 'June', '16', '.']","['O', 'O', 'O', 'O', 'O', 'O']"
"['hm', 'im', 'surprised', 'my', 'friend', 'did', 'n', ""'"", 't', 'joined', 'this', ',', 'she', 'is', 'amazing', 'at', 'dancing', ',', 'and', 'she', ""'"", 's', 'a', 'huge', 'fan', 'of', 'bruno', 'mars', 'Nevermimd', 'that', ""'"", 's', 'the', 'old', 'house', 'Legend', 'has', 'it', ',', 'it', ""'"", 's', 'still', 'ticking', '250', ',', '000', 'policemen', 'on', '£', '300', 'odd', 'a', 'year', ',', 'who', 'are', 'they', 'hiring', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'I-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['ameobas', '?']","['O', 'O']"
"['can', 'anyone', 'tell', 'me', 'that', 'track', 'that', 'Aleksandr', 'was', 'listening', 'too', 'at', 'the', 'end', 'of', 'the', 'video', 'when', 'he', 'was', 'eating', 'Tanner', 'is', 'a', 'good', 'dude', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O', 'O', 'O']"
"['Where', ""'"", 's', 'your', 'MW', 'necklace', '?']","['O', 'O', 'O', 'O', 'B-product', 'I-product', 'O']"
['?'],['O']
"['Great', 'video', ',', 'amazing', 'phenomenon', 'explained', 'very', 'clearly', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Thank', 'you', '!']","['O', 'O', 'O']"
"['Are', 'u', 'super', 'cereal', 'i', 'have', 'been', 'watching', 'this', 'for', 'a', 'while', 'and', 'u', 'guys', 'r', 'the', 'best', 'and', 'u', 'train', 'gunther', 'very', 'well', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-person', 'O', 'O', 'O']"
"['keep', 'this', 'up', '.']","['O', 'O', 'O', 'O']"
"['i', 'am', 'subed', 'and', 'i', 'liked', 'the', 'vid', 'Tesla', 'is', 'future', ',', 'in', 'just', 'few', 'years', 'this', 'company', 'gonna', 'rock', 'the', 'world', 'Taxpayer', 'dollars', 'being', 'used', 'verse', 'taxpayer', 'dollars', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-corporation', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['Over', 'and', 'over', 'again', ',', 'cross', 'so', 'many', 'spectrums', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
